source,target,dist,street_name
5435850758,2094160208,8.16,Unnamed road
5435850758,5825880201,4.29,Unnamed road
5435850759,2094160208,7.77,Unnamed road
5435850759,5435850763,6.72,Unnamed road
1300561928,13179752469,12.01,Naamsestraat
1300561928,6139193906,16.47,Naamsestraat
5435850763,10807799733,11.43,Unnamed road
5435850763,21091239,4.2,Unnamed road
5435850763,5435850759,6.72,Unnamed road
231997454,846564261,22.02,Ramberg
231997454,373519537,19.02,Ramberg
7474315285,7474315286,3.27,Unnamed road
7474315285,7474305684,2.54,Unnamed road
7474315286,7474315287,4.92,Unnamed road
7474315286,7474315285,3.27,Unnamed road
7474315287,7474315288,4.01,Unnamed road
7474315287,7474315286,4.92,Unnamed road
7474315288,7474315287,4.01,Unnamed road
7474315288,7474315310,2.99,Unnamed road
7474315288,1848270496,10.73,Unnamed road
7474315290,7474315291,3.56,Unnamed road
7474315290,7474305676,2.61,Unnamed road
5435850779,3721289126,6.34,Unnamed road
5435850779,11883118747,32.8,Unnamed road
5435850780,7982339992,4.75,Unnamed road
5435850780,1108249722,6.34,Unnamed road
5435850781,10617141747,42.29,Unnamed road
5435850781,7982339992,2.8,Unnamed road
7474315291,7474315292,2.77,Unnamed road
7474315291,7474315290,3.56,Unnamed road
7474315292,7474315293,2.49,Unnamed road
7474315292,7474315291,2.77,Unnamed road
7474315296,7474276738,4.01,Unnamed road
7474315296,7474315295,5.49,Unnamed road
7474315297,7474315298,7.39,Unnamed road
7474315297,7474276738,1.69,Unnamed road
7474315293,7474315294,6.83,Unnamed road
7474315293,7474315292,2.49,Unnamed road
7474315298,7474315299,6.29,Unnamed road
7474315298,7474315297,7.39,Unnamed road
7960559652,9732657847,3.34,Constantin Meunierstraat
7960559652,7970449026,31.11,Constantin Meunierstraat
7474315295,7474315296,5.49,Unnamed road
7474315295,7474315294,5.74,Unnamed road
7474315294,7474315295,5.74,Unnamed road
7474315294,7474315293,6.83,Unnamed road
1472593959,1124019160,43.25,Unnamed road
1472593959,5431322083,12.46,Unnamed road
1472593960,1137569615,20.87,Unnamed road
1472593960,5489418263,12.09,Unnamed road
7474315299,7474315300,9.03,Unnamed road
7474315299,7474315298,6.29,Unnamed road
7474315300,7474315301,5.84,Unnamed road
7474315300,7474315299,9.03,Unnamed road
7474315302,7474315303,9.28,Unnamed road
7474315302,7474315301,5.72,Unnamed road
7474315302,7609449809,4.46,Unnamed road
1472593964,1126124185,12.66,Unnamed road
1472593964,5460144337,7.89,Unnamed road
1472593965,1472593966,9.23,Adolphe Bastinstraat
1472593965,1100580863,2.98,Adolphe Bastinstraat
7474315310,7474315311,4.56,Unnamed road
7474315310,7474315288,2.99,Unnamed road
7474315311,7474315312,6.13,Unnamed road
7474315311,7474315310,4.56,Unnamed road
7474315312,7474315313,5.8,Unnamed road
7474315312,7474315311,6.13,Unnamed road
7474315313,7474315314,3.22,Unnamed road
7474315313,7474315312,5.8,Unnamed road
7474315314,7474315315,3.66,Unnamed road
7474315314,7474315313,3.22,Unnamed road
1472593966,16737681,100.7,Adolphe Bastinstraat
1472593966,1472593965,9.23,Adolphe Bastinstraat
7474315315,7474315316,6.36,Unnamed road
7474315315,7474315314,3.66,Unnamed road
7474315316,7474315317,6.32,Unnamed road
7474315316,7474315315,6.36,Unnamed road
7474315316,7609449812,2.9,Unnamed road
7474315317,7474315318,7.42,Unnamed road
7474315317,7474315316,6.32,Unnamed road
7474315318,7474315319,7.48,Unnamed road
7474315318,7474315317,7.42,Unnamed road
1472593967,7647327520,16.14,Unnamed road
1472593967,5221796088,0.94,Unnamed road
7474315319,7474315320,4.62,Unnamed road
7474315319,7474315318,7.48,Unnamed road
7474315320,7474315309,2.45,Unnamed road
7474315320,7474315319,4.62,Unnamed road
7474315323,7474315324,3.3,Unnamed road
7474315323,7474315322,2.75,Unnamed road
7474315324,7474315325,4.78,Unnamed road
7474315324,7474315323,3.3,Unnamed road
7474315325,7474315326,5.08,Unnamed road
7474315325,7474315324,4.78,Unnamed road
7474315326,7474315327,3.72,Unnamed road
7474315326,7474315325,5.08,Unnamed road
7474315327,7474315328,3.4,Unnamed road
7474315327,7474315326,3.72,Unnamed road
7474315328,7474315329,3.74,Unnamed road
7474315328,7474315327,3.4,Unnamed road
7474315329,7474315330,4.86,Unnamed road
7474315329,7474315328,3.74,Unnamed road
7474315330,7474315331,5.81,Unnamed road
7474315330,7474315329,4.86,Unnamed road
7474315331,7474315332,7.83,Unnamed road
7474315331,7474315330,5.81,Unnamed road
7474315332,7474315333,7.66,Unnamed road
7474315332,7474315331,7.83,Unnamed road
7474315333,7474315334,7.71,Unnamed road
7474315333,7474315332,7.66,Unnamed road
7474315334,7474315335,6.96,Unnamed road
7474315334,7474315333,7.71,Unnamed road
7474315335,7474315336,4.57,Unnamed road
7474315335,7474315334,6.96,Unnamed road
7474315336,7474315337,2.48,Unnamed road
7474315336,7474315335,4.57,Unnamed road
7474315337,7474315338,2.49,Unnamed road
7474315337,7474315336,2.48,Unnamed road
7474315338,7474315339,2.6,Unnamed road
7474315338,7474315337,2.49,Unnamed road
7474315338,7609449810,4.52,Unnamed road
7474315339,7474315338,2.6,Unnamed road
7474315339,7474315340,8.2,Unnamed road
7474315340,1848270496,3.41,Unnamed road
7474315340,7474315339,8.2,Unnamed road
7474315343,7474315344,10.88,Unnamed road
7474315343,1848270496,3.55,Unnamed road
7474315344,7474315347,2.79,Unnamed road
7474315344,7474315343,10.88,Unnamed road
7474315345,7609449814,6.73,Unnamed road
7474315345,7474315346,4.5,Unnamed road
7474315345,7474315347,2.88,Unnamed road
7474315346,1638819271,7.02,Unnamed road
7474315346,1638819270,1.85,Unnamed road
7474315346,7474315345,4.5,Unnamed road
7474315347,7474305665,3.03,Unnamed road
7474315347,7474315345,2.88,Unnamed road
7474315347,7474315344,2.79,Unnamed road
2622783567,2622812877,10.39,Studentenwijk Arenberg
2622783567,13505336590,5.7,Studentenwijk Arenberg
2622783568,2349076170,6.91,Studentenwijk Arenberg
203227222,1139797726,15.82,Broekstraat
203227222,11862964666,8.89,Broekstraat
2622783578,11353485527,1.2,Studentenwijk Arenberg
2622783578,21178590,1.55,Studentenwijk Arenberg
2622783578,11966489089,46.35,Studentenwijk Arenberg
19791963,2632955488,8.25,Unnamed road
19791963,2632955499,9.42,Unnamed road
19791963,3468219978,12.83,Unnamed road
12618858588,3163306067,91.42,Naamsesteenweg
12618858588,10100559978,29.71,Naamsesteenweg
19791964,19791966,19.8,Unnamed road
19791964,3468219978,12.18,Unnamed road
19791964,984207418,6.74,Unnamed road
19791966,2632955417,2.21,Unnamed road
19791966,19791964,19.8,Unnamed road
19791966,2632955421,27.45,Unnamed road
19791962,2632955514,9.51,Unnamed road
19791962,3463516856,31.66,Unnamed road
19791962,19791994,14.42,Unnamed road
19791962,7680610910,15.82,Unnamed road
19791975,2632955491,21.47,Unnamed road
19791975,8440177815,8.53,Unnamed road
19791975,3468219980,11.29,Unnamed road
8474820714,2633552179,22.34,Unnamed road
8474820714,13155784568,3.23,Unnamed road
8474820714,8477241243,2.46,Unnamed road
8474820715,13155784577,2.18,Unnamed road
8474820716,13155784586,0.19,Unnamed road
8474820716,18484793,29.17,Unnamed road
19791979,934912157,19.23,Unnamed road
19791979,934912159,9.91,Unnamed road
6242173038,1150602312,29.21,Kasteelpark Arenberg
6242173038,6242142768,0.97,Unnamed road
6242173038,7167916484,4.97,Unnamed road
19791986,12907556908,7.77,Unnamed road
19791986,3467450713,30.71,Kapeldreef
19791988,8455210174,6.4,Unnamed road
19791988,12907556926,15.09,Unnamed road
19791988,12907556916,4.18,Unnamed road
19791990,12913164029,4.33,Unnamed road
19791990,19791994,17.31,Unnamed road
19791990,12913164003,6.08,Unnamed road
19791993,3463516863,2.17,Unnamed road
19791993,938635214,25.22,Unnamed road
19791994,12913164030,4.16,Unnamed road
19791994,19791962,14.42,Unnamed road
19791994,19791990,17.31,Unnamed road
